"X1","Kingdom","Phylum","Class","Order","Family","Genus","Species","spore","temp"
"ASV4413","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","rubriscoriae",NA,NA
"ASV4425","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys",NA,NA,NA
"ASV4439","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","OLB13",NA,NA,NA
"ASV4442","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Granulicella",NA,NA,NA
"ASV4453","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Azospira",NA,NA,NA
"ASV4454","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasegetibacter",NA,NA,NA
"ASV4460","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Hydrogenophilaceae","Tepidiphilus","succinatimandens",NA,NA
"ASV4471","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA,NA,NA
"ASV4477","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax",NA,NA,NA
"ASV4487","Bacteria","Bacteroidetes","Rhodothermia","Balneolales","Balneolaceae","Gracilimonas",NA,NA,NA
"ASV4500","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillospira",NA,NA,NA
"ASV4503","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola","aquatica",NA,NA
"ASV4512","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Sporobacter",NA,NA,NA
"ASV4518","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera",NA,NA,NA
"ASV4524","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus","lacrimalis",NA,NA
"ASV4530","Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA,NA,NA
"ASV4532","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","Kallotenuaceae","Kallotenue",NA,NA,NA
"ASV4537","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","atlantae",NA,NA
"ASV4539","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila",NA,NA,NA
"ASV4540","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Salinimicrobium","terrae",NA,NA
"ASV4543","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","ummariense",NA,NA
"ASV4544","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Dielma","fastidiosa",NA,NA
"ASV4546","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum",NA,NA,NA
"ASV4555","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","psychrotolerans",NA,NA
"ASV4559","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloadaptaceae","Haladaptatus",NA,NA,NA
"ASV4561","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azorhizophilus",NA,NA,NA
"ASV4566","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Stackebrandtia","albiflava",NA,NA
"ASV4573","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","muris",NA,NA
"ASV4586","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Nosocomiicoccus",NA,NA,NA
"ASV4598","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","resistens",NA,NA
